CountryCode,Name,District,Population
BGD,Mymensingh,Dhaka,188713
BGD,Barisal,Barisal,170232
BGD,Tungi,Dhaka,168702
BGD,Jessore,Khulna,139710
BGD,Comilla,Chittagong,135313
BGD,Nawabganj,Rajshahi,130577
BGD,Dinajpur,Rajshahi,127815
BGD,Bogra,Rajshahi,120170
BGD,Sylhet,Sylhet,117396
BGD,Brahmanbaria,Chittagong,109032
BGD,Tangail,Dhaka,106004
BGD,Jamalpur,Dhaka,103556
BGD,Pabna,Rajshahi,103277
BGD,Naogaon,Rajshahi,101266
BGD,Sirajganj,Rajshahi,99669
BGD,Narsinghdi,Dhaka,98342
BGD,Saidpur,Rajshahi,96777
BGD,Gazipur,Dhaka,96717
BRB,Bridgetown,"St Michael",6070
BEL,Antwerpen,Antwerpen,446525
BEL,Gent,"East Flanderi",224180
BEL,Charleroi,Hainaut,200827
BEL,Liège,Liège,185639
BEL,"Bruxelles [Brussel]",Bryssel,133859
BEL,Brugge,"West Flanderi",116246
BEL,Schaerbeek,Bryssel,105692
BEL,Namur,Namur,105419
BEL,Mons,Hainaut,90935
BLZ,"Belize City","Belize City",55810
BLZ,Belmopan,Cayo,7105
BEN,Cotonou,Atlantique,536827
BEN,Porto-Novo,Ouémé,194000
BEN,Djougou,Atacora,134099
BEN,Parakou,Borgou,103577
BMU,"Saint George","Saint George´s",1800
BMU,Hamilton,Hamilton,1200
BTN,Thimphu,Thimphu,22000
BOL,"Santa Cruz de la Sierra","Santa Cruz",935361
BOL,"La Paz","La Paz",758141
BOL,"El Alto","La Paz",534466
BOL,Cochabamba,Cochabamba,482800
BOL,Oruro,Oruro,223553
BOL,Sucre,Chuquisaca,178426
BOL,Potosí,Potosí,140642
BOL,Tarija,Tarija,125255
BIH,Sarajevo,Federaatio,360000
BIH,"Banja Luka","Republika Srpska",143079
BIH,Zenica,Federaatio,96027
BWA,Gaborone,Gaborone,213017
BWA,Francistown,Francistown,101805
BRA,"São Paulo","São Paulo",9968485
BRA,"Rio de Janeiro","Rio de Janeiro",5598953
BRA,Salvador,Bahia,2302832
BRA,"Belo Horizonte","Minas Gerais",2139125
BRA,Fortaleza,Ceará,2097757
BRA,Brasília,"Distrito Federal",1969868
BRA,Curitiba,Paraná,1584232
BRA,Recife,Pernambuco,1378087
BRA,"Porto Alegre","Rio Grande do Sul",1314032
BRA,Manaus,Amazonas,1255049
BRA,Belém,Pará,1186926
BRA,Guarulhos,"São Paulo",1095874
BRA,Goiânia,Goiás,1056330
BRA,Campinas,"São Paulo",950043
BRA,"São Gonçalo","Rio de Janeiro",869254
BRA,"Nova Iguaçu","Rio de Janeiro",862225
BRA,"São Luís",Maranhão,837588
BRA,Maceió,Alagoas,786288
BRA,"Duque de Caxias","Rio de Janeiro",746758
BRA,"São Bernardo do Campo","São Paulo",723132
BRA,Teresina,Piauí,691942
BRA,Natal,"Rio Grande do Norte",688955
BRA,Osasco,"São Paulo",659604
BRA,"Campo Grande","Mato Grosso do Sul",649593
BRA,"Santo André","São Paulo",630073
BRA,"João Pessoa",Paraíba,584029
BRA,"Jaboatão dos Guararapes",Pernambuco,558680
BRA,Contagem,"Minas Gerais",520801
BRA,"São José dos Campos","São Paulo",515553
BRA,Uberlândia,"Minas Gerais",487222
BRA,"Feira de Santana",Bahia,479992
BRA,"Ribeirão Preto","São Paulo",473276
BRA,Sorocaba,"São Paulo",466823
BRA,Niterói,"Rio de Janeiro",459884
BRA,Cuiabá,"Mato Grosso",453813
BRA,"Juiz de Fora","Minas Gerais",450288
BRA,Aracaju,Sergipe,445555
BRA,"São João de Meriti","Rio de Janeiro",440052
BRA,Londrina,Paraná,432257
BRA,Joinville,"Santa Catarina",428011
BRA,"Belford Roxo","Rio de Janeiro",425194
BRA,Santos,"São Paulo",408748
BRA,Ananindeua,Pará,400940
BRA,"Campos dos Goytacazes","Rio de Janeiro",398418
BRA,Mauá,"São Paulo",375055
BRA,Carapicuíba,"São Paulo",357552
BRA,Olinda,Pernambuco,354732
BRA,"Campina Grande",Paraíba,352497
BRA,"São José do Rio Preto","São Paulo",351944
BRA,"Caxias do Sul","Rio Grande do Sul",349581
BRA,"Moji das Cruzes","São Paulo",339194
BRA,Diadema,"São Paulo",335078
BRA,"Aparecida de Goiânia",Goiás,324662
BRA,Piracicaba,"São Paulo",319104
BRA,Cariacica,"Espírito Santo",319033
BRA,"Vila Velha","Espírito Santo",318758
BRA,Pelotas,"Rio Grande do Sul",315415
BRA,Bauru,"São Paulo",313670
BRA,"Porto Velho",Rondônia,309750
BRA,Serra,"Espírito Santo",302666
BRA,Betim,"Minas Gerais",302108
BRA,Jundíaí,"São Paulo",296127
BRA,Canoas,"Rio Grande do Sul",294125
BRA,Franca,"São Paulo",290139
BRA,"São Vicente","São Paulo",286848
BRA,Maringá,Paraná,286461
BRA,"Montes Claros","Minas Gerais",286058
BRA,Anápolis,Goiás,282197
BRA,Florianópolis,"Santa Catarina",281928
BRA,Petrópolis,"Rio de Janeiro",279183
BRA,Itaquaquecetuba,"São Paulo",270874
BRA,Vitória,"Espírito Santo",270626
BRA,"Ponta Grossa",Paraná,268013
BRA,"Rio Branco",Acre,259537
BRA,"Foz do Iguaçu",Paraná,259425
BRA,Macapá,Amapá,256033
BRA,Ilhéus,Bahia,254970
BRA,"Vitória da Conquista",Bahia,253587
BRA,Uberaba,"Minas Gerais",249225
BRA,Paulista,Pernambuco,248473
BRA,Limeira,"São Paulo",245497
BRA,Blumenau,"Santa Catarina",244379
BRA,Caruaru,Pernambuco,244247
BRA,Santarém,Pará,241771
BRA,"Volta Redonda","Rio de Janeiro",240315
BRA,"Novo Hamburgo","Rio Grande do Sul",239940
BRA,Caucaia,Ceará,238738
BRA,"Santa Maria","Rio Grande do Sul",238473
BRA,Cascavel,Paraná,237510
BRA,Guarujá,"São Paulo",237206
BRA,"Ribeirão das Neves","Minas Gerais",232685
BRA,"Governador Valadares","Minas Gerais",231724
BRA,Taubaté,"São Paulo",229130
BRA,Imperatriz,Maranhão,224564
BRA,Gravataí,"Rio Grande do Sul",223011
BRA,Embu,"São Paulo",222223
BRA,Mossoró,"Rio Grande do Norte",214901
BRA,"Várzea Grande","Mato Grosso",214435
BRA,Petrolina,Pernambuco,210540
BRA,Barueri,"São Paulo",208426
BRA,Viamão,"Rio Grande do Sul",207557
BRA,Ipatinga,"Minas Gerais",206338
BRA,Juazeiro,Bahia,201073
BRA,"Juazeiro do Norte",Ceará,199636
BRA,"Taboão da Serra","São Paulo",197550
BRA,"São José dos Pinhais",Paraná,196884
BRA,Magé,"Rio de Janeiro",196147
BRA,Suzano,"São Paulo",195434
